00003, -73.8005,  40.2285,     757.
00006, -73.0313,  40.7992,     461.
00009, -73.6305,  40.1902,    1160.
00012, -73.5852,  40.4617,      35.
00015, -72.9453,  40.1092,     786.
00018, -73.7898,  40.1386,     478.
00021, -73.6725,  40.1019,    1026.
00024, -72.9453,  40.0628,    1058.
00027, -72.4734,  40.0285,     905.
00030, -71.5080,  40.4649,    1000.
00033, -72.5907,  39.9045,     904.
00036, -73.6754,  40.5294,    1611.
00039, -72.7509,  40.2498,     630.
00042, -72.5764,  40.2123,     748.
00045, -73.7591,  39.7931,    1862.
00048, -72.7223,  40.2328,     359.
00051, -72.9869,  40.1893,     768.
00054, -73.4530,  40.2939,     659.
00057, -73.1537,  40.7458,    1682.
00060, -73.5579,  40.1846,    1154.
00063, -73.3707,  40.3840,    2031.
00066, -73.8644,  40.6254,     512.
00069, -73.0052,  40.3137,    1174.
00072, -74.2905,  40.1189,    1608.
00075, -73.3039,  40.1091,     579.
00078, -74.4167,  40.0238,    1689.
00081, -73.1647,  40.1899,    1164.
00084, -73.1424,  40.1026,    1159.
00087, -74.3089,  40.2954,       9.
00090, -73.8151,  40.6147,    1397.
00093, -73.9768,  40.2265,    1728.
00096, -73.0745,  40.2318,     472.
00099, -72.7995,  40.1103,     953.
00102, -72.7542,  40.1845,     690.
00105, -73.0562,  40.1553,     777.
00108, -72.4654,  40.0935,    1034.
00111, -73.3551,  39.9113,    1529.
00114, -73.3647,  39.9502,    1506.
00117, -73.7847,  40.3250,    1717.
00120, -72.7152,  40.0907,     996.
00123, -73.1217,  40.1708,    1102.
00126, -72.8722,  40.0012,     858.
00129, -72.9075,  40.1781,     866.
00132, -73.0583,  40.2579,    1379.
00135, -73.7363,  40.0163,     972.
00138, -73.1198,  40.0573,    1179.
00141, -73.2296,  40.1623,    1561.
00144, -72.8165,  40.5421,    1245.
00147, -74.1591,  40.1484,     774.
00150, -74.5329,  40.3059,    1563.
00153, -73.6589,  40.3019,     564.
00156, -73.3517,  40.0620,    1001.
00159, -73.4308,  39.9621,     873.
00162, -74.2458,  40.1767,    1536.
00165, -71.7218,  40.3726,    1065.
00168, -72.2911,  40.0533,     956.
00171, -73.7607,  40.1201,     197.
00174, -73.9969,  39.9588,     541.
00177, -73.8695,  40.3543,      62.
00180, -73.8078,  40.3007,     730.
00183, -73.8338,  40.2603,    1526.
00186, -73.4455,  40.0198,    1669.
00189, -73.4525,  40.3327,    1352.
00192, -73.1807,  40.0350,     896.
00195, -71.4978,  40.3814,     949.
00198, -73.7075,  40.2657,      97.
00201, -73.3520,  40.7375,    1384.
00204, -73.9234,  40.0236,     511.
00207, -72.7303,  40.2247,     734.
00210, -72.5172,  40.1570,     486.
00213, -72.4400,  40.1351,     892.
00216, -73.4849,  40.2630,    1614.
00219, -74.3684,  40.1653,     209.
00222, -73.4172,  40.0920,    1276.
00225, -73.8751,  40.7877,     426.
00228, -72.7144,  40.2702,     481.
00231, -73.7795,  40.3632,    1225.
00234, -73.3788,  40.1014,    1048.
00237, -73.1604,  40.2178,     454.
00240, -73.1339,  40.3028,     202.
00243, -74.4940,  40.2306,    1199.
00246, -73.7686,  40.0962,     296.
00249, -74.2756,  40.0758,    1894.
00252, -73.0095,  40.0566,     851.
00255, -72.6823,  40.1368,     837.
00258, -72.7965,  39.9876,    1058.
00261, -74.0303,  40.4238,    1763.
00264, -72.7273,  40.1005,     838.
00267, -73.4465,  40.3190,    1556.
